IPC,CPN,IDENTIFIER_TYPE,COLLEGE_ID,PROVIDER_ROLE_TYPE,MSPID,NAME_PREFIX,FIRST_NAME,SECOND_NAME,THIRD_NAME,LAST_NAME,SUFFIX,GENDER,DATE_OF_BIRTH,STATUS_CODE,STATUS_REASON_CD,STATUS_START_DT,STATUS_EXPIRY_DT,EXPERTISE,LANGUAGES,ADD1_LINE1,ADD1_LINE2,ADD1_LINE3,CITY1,PROVINCE1,COUNTRY1,POSTAL_CODE1,ADD1_START_DATE,CREDENTIALS,TEL_AREA_CD,TEL_NUMBER,FAX_AREA_CD,FAX_NUMBER,EMAIL,CONDITION_CODE,CONDITION_START_DATE,CONDITION_END_DATE
IPC.PIDP00008.PHID.GS,CPN.PIDP00008,PHID,88888,,,,PIDP,,,EIGHT,,,02-19-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00008.PHID.BS,CPN.PIDP00008,PHID,00008,,,,PIDP,,,EIGHT,,,02-19-2000,TERMINATED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00008.CPSID.GS,CPN.PIDP00008,CPSID,88888,,,,PIDP,,,EIGHT,,,02-19-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00008.CPSID.BS,CPN.PIDP00008,CPSID,00008,,,,PIDP,,,EIGHT,,,02-19-2000,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00008.RNID.GS,CPN.PIDP00008,RNID,88888,,,,PIDP,,,EIGHT,,,02-19-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00008.RNID.BS,CPN.PIDP00008,RNID,00008,,,,PIDP,,,EIGHT,,,02-19-2000,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00008.NDID.GS,CPN.PIDP00008,NDID,88888,,,,PIDP,,,EIGHT,,,02-19-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00008.NDID.BS,CPN.PIDP00008,NDID,00008,,,,PIDP,,,EIGHT,,,02-19-2000,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00009.PHID.GS,CPN.PIDP00009,PHID,99999,,,,PIDP,,,NINE,,,01-22-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00009.PHID.BS,CPN.PIDP00009,PHID,00009,,,,PIDP,,,NINE,,,01-22-2000,TERMINATED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00009.CPSID.GS,CPN.PIDP00009,CPSID,99999,,,,PIDP,,,NINE,,,01-22-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00009.CPSID.BS,CPN.PIDP00009,CPSID,00009,,,,PIDP,,,NINE,,,01-22-2000,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00009.RNID.GS,CPN.PIDP00009,RNID,99999,,,,PIDP,,,NINE,,,01-22-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00009.RNID.BS,CPN.PIDP00009,RNID,00009,,,,PIDP,,,NINE,,,01-22-2000,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00009.NDID.GS,CPN.PIDP00009,NDID,99999,,,,PIDP,,,NINE,,,01-22-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00009.NDID.BS,CPN.PIDP00009,NDID,00009,,,,PIDP,,,NINE,,,01-22-2000,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
